en\docs\8\guides\authentication.md | java/guides/authentication/Examples.java — Proxy check | file C:\Users\vladyslav.bakanov\JekyllHugoMigration\embed-code-go\embed-code\embed-code-go\build\fragments\java\guides\authentication\Examples-636a6283.java doesn't exist
en\docs\8\guides\browser.md | java/guides/browser/Examples.java — Create browser from profile | file C:\Users\vladyslav.bakanov\JekyllHugoMigration\embed-code-go\embed-code\embed-code-go\build\fragments\java\guides\browser\Examples-bec7c8d1.java doesn't exist
en\docs\8\guides\printing.md | examples/src/main/java/com/teamdev/jxbrowser/examples/PrintSettings.java — Subscribe to PrintCompleted | file C:\Users\vladyslav.bakanov\JekyllHugoMigration\embed-code-go\embed-code\embed-code-go\build\fragments\examples\src\main\java\com\teamdev\jxbrowser\examples\PrintSettings-6f5b9247.java doesn't exist
en\docs\guides\authentication.md | java/guides/authentication/Examples.java — Proxy check | file C:\Users\vladyslav.bakanov\JekyllHugoMigration\embed-code-go\embed-code\embed-code-go\build\fragments\java\guides\authentication\Examples-636a6283.java doesn't exist
en\docs\guides\browser.md | java/guides/browser/Examples.java — Create browser from profile | file C:\Users\vladyslav.bakanov\JekyllHugoMigration\embed-code-go\embed-code\embed-code-go\build\fragments\java\guides\browser\Examples-bec7c8d1.java doesn't exist
en\docs\guides\printing.md | examples/src/main/java/com/teamdev/jxbrowser/examples/PrintSettings.java — Subscribe to PrintCompleted | file C:\Users\vladyslav.bakanov\JekyllHugoMigration\embed-code-go\embed-code\embed-code-go\build\fragments\examples\src\main\java\com\teamdev\jxbrowser\examples\PrintSettings-6f5b9247.java doesn't exist
pt\docs\8\guides\authentication.md | java/guides/authentication/Examples.java — Proxy check | file C:\Users\vladyslav.bakanov\JekyllHugoMigration\embed-code-go\embed-code\embed-code-go\build\fragments\java\guides\authentication\Examples-636a6283.java doesn't exist
pt\docs\8\guides\browser.md | java/guides/browser/Examples.java — Create browser from profile | file C:\Users\vladyslav.bakanov\JekyllHugoMigration\embed-code-go\embed-code\embed-code-go\build\fragments\java\guides\browser\Examples-bec7c8d1.java doesn't exist
pt\docs\8\guides\printing.md | examples/src/main/java/com/teamdev/jxbrowser/examples/PrintSettings.java — Subscribe to PrintCompleted | file C:\Users\vladyslav.bakanov\JekyllHugoMigration\embed-code-go\embed-code\embed-code-go\build\fragments\examples\src\main\java\com\teamdev\jxbrowser\examples\PrintSettings-6f5b9247.java doesn't exist
pt\docs\guides\authentication.md | java/guides/authentication/Examples.java — Proxy check | file C:\Users\vladyslav.bakanov\JekyllHugoMigration\embed-code-go\embed-code\embed-code-go\build\fragments\java\guides\authentication\Examples-636a6283.java doesn't exist
pt\docs\guides\browser.md | java/guides/browser/Examples.java — Create browser from profile | file C:\Users\vladyslav.bakanov\JekyllHugoMigration\embed-code-go\embed-code\embed-code-go\build\fragments\java\guides\browser\Examples-bec7c8d1.java doesn't exist
pt\docs\guides\printing.md | examples/src/main/java/com/teamdev/jxbrowser/examples/PrintSettings.java — Subscribe to PrintCompleted | file C:\Users\vladyslav.bakanov\JekyllHugoMigration\embed-code-go\embed-code\embed-code-go\build\fragments\examples\src\main\java\com\teamdev\jxbrowser\examples\PrintSettings-6f5b9247.java doesn't exist
zh\docs\8\guides\authentication.md | java/guides/authentication/Examples.java — Proxy check | file C:\Users\vladyslav.bakanov\JekyllHugoMigration\embed-code-go\embed-code\embed-code-go\build\fragments\java\guides\authentication\Examples-636a6283.java doesn't exist
zh\docs\8\guides\browser.md | java/guides/browser/Examples.java — Create browser from profile | file C:\Users\vladyslav.bakanov\JekyllHugoMigration\embed-code-go\embed-code\embed-code-go\build\fragments\java\guides\browser\Examples-bec7c8d1.java doesn't exist
zh\docs\8\guides\printing.md | examples/src/main/java/com/teamdev/jxbrowser/examples/PrintSettings.java — Subscribe to PrintCompleted | file C:\Users\vladyslav.bakanov\JekyllHugoMigration\embed-code-go\embed-code\embed-code-go\build\fragments\examples\src\main\java\com\teamdev\jxbrowser\examples\PrintSettings-6f5b9247.java doesn't exist
zh\docs\guides\authentication.md | java/guides/authentication/Examples.java — Proxy check | file C:\Users\vladyslav.bakanov\JekyllHugoMigration\embed-code-go\embed-code\embed-code-go\build\fragments\java\guides\authentication\Examples-636a6283.java doesn't exist
zh\docs\guides\browser.md | java/guides/browser/Examples.java — Create browser from profile | file C:\Users\vladyslav.bakanov\JekyllHugoMigration\embed-code-go\embed-code\embed-code-go\build\fragments\java\guides\browser\Examples-bec7c8d1.java doesn't exist
zh\docs\guides\printing.md | examples/src/main/java/com/teamdev/jxbrowser/examples/PrintSettings.java — Subscribe to PrintCompleted | file C:\Users\vladyslav.bakanov\JekyllHugoMigration\embed-code-go\embed-code\embed-code-go\build\fragments\examples\src\main\java\com\teamdev\jxbrowser\examples\PrintSettings-6f5b9247.java doesn't exist
